id,title,type,priority,estimate_days,sprint,assignee_role,status,scope,labels,dependencies,description,acceptance_criteria
BG-017,Add immutable payout audit trail,Story,P0,2,Sprint 3,BE-1,Todo,P0_now,"compliance,audit,payout",BG-015,Record payout events with immutable trail linked to claim and policy version,"Every payout has traceable immutable audit metadata."
BG-018,Separate accounting ledgers by game channel,Story,P0,4,Sprint 3,BE-2,Todo,P0_now,"compliance,accounting,reporting",BG-002,Separate ledger dimensions for hall main game internet main game and databingo,"Compliance reports can be produced without channel blending."
BG-019,Build daily compliance report export,Story,P0,3,Sprint 3,BE-2,Todo,P0_now,"compliance,reporting,daily",BG-018,Generate per-hall daily turnover prize and net reports in CSV and JSON,"Daily report exports match ledger totals and pass reconciliation checks."
BG-020,Build quarterly and half year compliance export,Story,P1,3,Sprint 4,BE-2,Todo,Deferred_P1,"reporting,regulator",BG-019,Create scheduled period reports needed for regulator submissions,"Quarterly and half-year report bundles can be generated repeatably."
BG-021,Implement overskudd distribution engine,Story,P0,3,Sprint 3,BE-2,Todo,P0_now,"compliance,distribution,finance",BG-018;BG-019,Calculate and transfer required organization share from overskudd rules,"Main game minimum 15 percent and databingo minimum 30 percent are enforced."
BG-022,Implement RBAC for admin and operator boundaries,Story,P1,2,Sprint 4,BE-1,Todo,Deferred_P1,"security,rbac,admin",BG-001,Restrict sensitive endpoints and management actions by role,"Only allowed roles can access protected operational endpoints."
BG-023,Implement append only audit event stream,Story,P1,3,Sprint 4,BE-1,Todo,Deferred_P1,"audit,security,operations",BG-017,Add centralized immutable event stream for security and compliance events,"Critical events are queryable by player hall time and action."
BG-024,Add monitoring and alerting for compliance faults,Story,P1,2,Sprint 4,BE-1,Todo,Deferred_P1,"ops,monitoring,alerts",BG-023,Create metrics and alert rules for limits payouts and gameplay integrity faults,"Operational alerts fire on threshold and failure conditions."
BG-025,Run backup and restore drill,Story,P1,2,Sprint 4,BE-2,Todo,Deferred_P1,"ops,backup,recovery",BG-018,Document and validate restore process against target recovery objectives,"Restore drill is completed and recovery evidence is recorded."
BG-026,Create compliance automated test suite,Story,P0,4,Sprint 3,QA-1+BE-1,Todo,P0_now,"qa,compliance,automation",BG-006;BG-008;BG-011;BG-015,Build test coverage for limits pause exclusion timing tickets and prize caps,"Compliance suite is green in CI and blocks regressions."
BG-027,Create pilot hall runbook,Story,P0,2,Sprint 3,QA-1,Todo,P0_now,"qa,pilot,operations",BG-026,Define preflight rollback and support procedure for pilot hall rollout,"Pilot can be executed with clear go no-go and rollback instructions."
BG-028,Create rollout plan 1 to 3 to 20 halls,Story,P0,2,Sprint 4,QA-1+BE-1,Todo,P0_now,"rollout,operations,release",BG-027,Define staged rollout gates health checks and rollback rules per wave,"Rollout waves have explicit acceptance gates and rollback criteria."
